       Z A ab        |   abs_cyburt_sens    |   rel_cyburt_sens    | 
      67 33 pg       | 9.393982356727269e+37 |  8.635622672869411   | 
      37 21 gp       | 9.364755066466152e+37 |  8.608754850378272   | 
      98 44 pg       | 9.360227643159923e+37 |  8.604592917997705   | 
     103 48 pg       | 9.354171291955349e+37 |   8.59902548538063   | 
      28 17 pg       | 9.349773535717256e+37 |  8.594982752273703   | 
      95 43 pg       | 9.340391404733885e+37 |  8.586358024233649   | 
      48 26 ap       | 9.331656685730798e+37 |  8.578328443742668   | 
      94 43 pg       | 9.312284639432184e+37 |   8.5605202686915    | 
      27 15 ag       | 9.302354128150783e+37 |  8.551391430130987   | 
      98 43 pg       | 9.290697210177897e+37 |   8.54067555465669   | 
      47 25 ap       | 9.241796835717179e+37 |   8.49572282147401   | 
     105 46 pg       | 9.211569928742277e+37 |  8.467936079569363   | 
      33 19 pg       | 9.207145141051087e+37 |  8.463868497211035   | 
      48 25 ap       | 9.206363080427708e+37 |  8.463149570967154   | 
       3 2 ag        | 9.19091063221545e+37 |  8.448944571738306   | 
      92 47 gp       | 9.150998081772368e+37 |  8.412254091338212   | 
      53 25 pg       | 9.143403115585616e+37 |  8.405272253422048   | 
      45 24 ap       | 9.094110699130212e+37 |   8.35995912710582   | 
      43 21 pg       |  9.082805493118e+37  |  8.349566570503814   | 
     113 52 pg       | 9.063916963127996e+37 |  8.332202878339537   | 
      77 34 pg       | 9.063054764851222e+37 |  8.331410283814163   | 
      42 20 pg       | 9.05318647361275e+37 |   8.32233864238188   | 
      51 25 ag       | 9.050046169835088e+37 |  8.319451849808477   | 
     112 51 pa       | 9.044848383065444e+37 |  8.314673671228597   | 
      51 26 ap       | 9.039213580411638e+37 |  8.309493756288742   | 
      37 17 ag       | 9.035766496023552e+37 |  8.306324948964365   | 
      46 24 ap       | 9.014104095039426e+37 |  8.286411315535691   | 
      47 21 pa       | 9.007652381477917e+37 |  8.280480437469828   | 
      41 20 ag       | 9.005085874381753e+37 |  8.278121119980387   | 
      34 18 pg       | 8.999955414672191e+37 |   8.27340483326537   | 
      21 10 pg       | 8.984509790750128e+37 |  8.259206107413766   | 
      60 28 ag       | 8.961381862526865e+37 |  8.237945256184013   | 
      66 30 pa       | 8.933900969831307e+37 |  8.212682847652607   | 
      99 45 pg       | 8.923689723003743e+37 |  8.203295936833126   | 
      42 23 gp       | 8.917572766915519e+37 |  8.197672791858132   | 
      69 31 pg       | 8.915961650252688e+37 |  8.196191737811633   | 
      55 25 pa       | 8.91472022419845e+37 |  8.195050529900698   | 
      69 34 pa       | 8.904452904138203e+37 |   8.18561207254205   | 
      38 18 ag       | 8.894807211866756e+37 |  8.176745060053445   | 
      30 14 pg       | 8.892561935466045e+37 |  8.174681040870041   | 
      22 12 pg       | 8.889547134765673e+37 |  8.171909619731096   | 
      93 44 pg       | 8.884208936246763e+37 |  8.167002364595668   | 
      23 11 ap       | 8.873296062052146e+37 |  8.156970467553226   | 
      37 20 ag       | 8.854725146713583e+37 |   8.13989874956785   | 
      43 21 pg       | 8.848297364324962e+37 |  8.133989870753352   | 
      97 45 pg       | 8.847201382640376e+37 |  8.132982365743755   | 
     106 51 pa       | 8.83177867391515e+37 |  8.118804705185424   | 
      55 28 ap       | 8.828396945243976e+37 |  8.115695977525812   | 
      54 25 pg       | 8.82010532301198e+37 |  8.108073723382422   | 
      35 20 ap       | 8.811195880135504e+37 |  8.099883524169238   | 
      64 31 pg       | 8.796392119029101e+37 |  8.086274844676387   | 
     106 52 pa       | 8.792353449072394e+37 |  8.082562209446515   | 
      53 27 ap       | 8.791131992733111e+37 |  8.081439359130549   | 
      47 25 pg       | 8.787038211465682e+37 |  8.077676061629202   | 
      43 21 ag       | 8.78098554531029e+37 |  8.072112016573763   | 
      39 19 pg       | 8.770275718414397e+37 |  8.062266775178516   | 
     101 46 pg       | 8.75648717174434e+37 |  8.049591353645008   | 
      95 45 ag       | 8.755761041050713e+37 |  8.048923842205957   | 
     109 51 ga       | 8.74299552411586e+37 |  8.037188863015308   | 
      65 29 pa       | 8.736688589753663e+37 |  8.031391076378474   | 
     107 48 pa       | 8.728240799780075e+37 |  8.023625261640776   | 
      81 41 gp       | 8.719464624389843e+37 |  8.015557571463916   | 
