# version 2
# time, mass, jx, jy, jz, px, py, pz
2.863755336698368126e+00  5.842537668349183870e+33 -6.348229267222681277e+46  9.608491838551324776e+47 -7.518086769349719403e+47 -1.873253926680733393e+41  5.979635826286383877e+40 -1.698637000672368768e+41
2.945711648544482752e+00  5.870639999999999538e+33  1.817023710508823237e+45  9.866580054045285321e+47 -7.185654730789280165e+47 -1.879380453956073184e+41  6.050490513934605734e+40 -1.710414520629882648e+41
3.023942673488501320e+00  5.897420000000000176e+33  5.689987059629865784e+46  1.023440395475384597e+48 -6.781215941826201492e+47 -1.885918666100767924e+41  6.105133795343181052e+40 -1.720147105459248174e+41
3.109624272236712450e+00  5.926722136118356138e+33  1.055891565896547071e+47  1.075018609084070318e+48 -6.207190270945872963e+47 -1.889981974171983208e+41  6.179223370523454274e+40 -1.730477328704490171e+41
3.199031157887019194e+00  5.957319999999999747e+33  1.481654770487707214e+47  1.134601503557949214e+48 -5.466991028174451671e+47 -1.892898020731383352e+41  6.264474770683987070e+40 -1.742369628681035014e+41
3.288438043537326383e+00  5.988150000000000344e+33  1.845634662561405741e+47  1.199612078315447838e+48 -4.649778374012508690e+47 -1.900412838504718612e+41  6.333525002870195650e+40 -1.752545067341325737e+41
3.385295502991825245e+00  6.021569999999999830e+33  2.223624912572441708e+47  1.275529099458893837e+48 -3.649820390193353296e+47 -1.909547441710390642e+41  6.420367643897650505e+40 -1.764726812721526740e+41
3.474702388642132433e+00  6.052481194321066895e+33  2.607854836859750648e+47  1.347142948850510188e+48 -2.633754819965466196e+47 -1.918301627254002843e+41  6.494752938018565024e+40 -1.776830032837058974e+41
3.579010421900823857e+00  6.088660421900823879e+33  3.121181316068682200e+47  1.433349936490011687e+48 -1.350486493552227920e+47 -1.926977669129994382e+41  6.583036252404409556e+40 -1.791774083437951934e+41
3.675867881355323163e+00  6.122390000000000008e+33  3.611053891486997572e+47  1.517086746045550668e+48 -3.750484049658988677e+45 -1.932547103434169524e+41  6.646267225415869261e+40 -1.804508334701003741e+41
3.780175914614014587e+00  6.158657957307007225e+33  4.139306110805124718e+47  1.613591353450603926e+48  1.462594161908920032e+47 -1.935449945671474100e+41  6.683539330130158544e+40 -1.817498795019618167e+41
3.884483947872706011e+00  6.194891973936352923e+33  4.718253142534380702e+47  1.717047444911412062e+48  3.028797992295229750e+47 -1.934686583647612835e+41  6.681101071608668469e+40 -1.829608407898332796e+41
3.996242554935589553e+00  6.233591277467794581e+33  5.354280277030397963e+47  1.841247864949641277e+48  4.736405352092304108e+47 -1.930365279507497763e+41  6.642716096788003249e+40 -1.843220941655767106e+41
4.108001161998473094e+00  6.272399999999999528e+33  6.039221097721711284e+47  1.982333618625582572e+48  6.413551466554366782e+47 -1.933924823287812326e+41  6.609865027698936581e+40 -1.857196296323815687e+41
4.227210342865548753e+00  6.313390342865548368e+33  6.855641984354390218e+47  2.150190057561736430e+48  8.188678129001601091e+47 -1.938354529755660740e+41  6.578116596404228432e+40 -1.873985614171369883e+41
4.346419523732624413e+00  6.354249761866312297e+33  7.819211668610511852e+47  2.333676841624881765e+48  9.905061347359382842e+47 -1.940291069921283770e+41  6.551220084810527920e+40 -1.889710988399816032e+41
4.465628704599700960e+00  6.394890000000000046e+33  8.990445433136981003e+47  2.532486862610584352e+48  1.150124473355773971e+48 -1.940297869828071237e+41  6.533303926352478533e+40 -1.898193436666706904e+41
4.592288459270969625e+00  6.437739999999999940e+33  1.046449781897042390e+48  2.759373619140588196e+48  1.304713024079332063e+48 -1.944544704738995700e+41  6.495609659825205977e+40 -1.909431743462064658e+41
4.726398787746429520e+00  6.482739999999999756e+33  1.220644247762570568e+48  3.008854951772579110e+48  1.456593200049659466e+48 -1.948709625697390943e+41  6.437099743430410209e+40 -1.923102612093026370e+41
4.860509116221889414e+00  6.527450000000000306e+33  1.413377322361233757e+48  3.264123948940029139e+48  1.598777733606365638e+48 -1.950815955922086225e+41  6.395547051486930021e+40 -1.936371939611947395e+41
4.994619444697351085e+00  6.571709999999999452e+33  1.625273420991845465e+48  3.522070212096907735e+48  1.731274712854357910e+48 -1.951496942273503508e+41  6.381074852566004063e+40 -1.950082731468872147e+41
5.136180346977003097e+00  6.617849999999999522e+33  1.858441335788058399e+48  3.792890801859941872e+48  1.864373691348298292e+48 -1.952333460416151976e+41  6.355237307386280336e+40 -1.963564544795929604e+41
5.277741249256655109e+00  6.663480624628327493e+33  2.102908005153773457e+48  4.063796429383665226e+48  1.988750604091478295e+48 -1.954450865154275089e+41  6.325324353104227472e+40 -1.978738331271514741e+41
5.441653872948885251e+00  6.715809999999999508e+33  2.396778993898767037e+48  4.377496897097209526e+48  2.118165308285668918e+48 -1.960782684062390901e+41  6.265304226313325356e+40 -1.998201485790661736e+41
5.583214775228537263e+00  6.760702387614269153e+33  2.647495744410826283e+48  4.639807067324536651e+48  2.218351981859776153e+48 -1.963465896068405700e+41  6.224650831379369689e+40 -2.016459121739710481e+41
5.739676825116575287e+00  6.809919999999999903e+33  2.920569584069452786e+48  4.917332784305394467e+48  2.319611053496239768e+48 -1.967268309938703182e+41  6.177031148629896111e+40 -2.035568152698507297e+41
5.903589448808803652e+00  6.860900000000000119e+33  3.208571725262486230e+48  5.188846037578000438e+48  2.407526886936638697e+48 -1.971033023737479222e+41  6.120069501258474121e+40 -2.056074615770111880e+41
6.067502072501033794e+00  6.911579999999999782e+33  3.494832265403717300e+48  5.446697123844312243e+48  2.473853098342867221e+48 -1.974996963935490912e+41  6.061656239100689589e+40 -2.074257458812392354e+41
6.246315843801648171e+00  6.966540000000000176e+33  3.809414165410156532e+48  5.723310762200092453e+48  2.526211742792345626e+48 -1.979160076652263441e+41  5.977450908615769421e+40 -2.094877884685139011e+41
6.425129615102260772e+00  7.021519999999999683e+33  4.118636168417456419e+48  5.994348244850861742e+48  2.564206403445342803e+48 -1.981842382820925492e+41  5.898221470799933466e+40 -2.111918569880181311e+41
6.603943386402875149e+00  7.076631693201437744e+33  4.428877064159602428e+48  6.260421181944949532e+48  2.590075176040079605e+48 -1.989325384966553070e+41  5.824943469685518520e+40 -2.128718407739840363e+41
6.782757157703489526e+00  7.131889999999999568e+33  4.753965763831617342e+48  6.528469261179310132e+48  2.606278192209302794e+48 -1.996929058897789647e+41  5.783050958638230721e+40 -2.146875385242542626e+41
6.976472076612488138e+00  7.191701038306243826e+33  5.099296636884203311e+48  6.824725525978973038e+48  2.605966040922172565e+48 -2.001660433678161287e+41  5.787206011066675866e+40 -2.167301643180787477e+41
7.185088143129870986e+00  7.255960000000000458e+33  5.444722089742891316e+48  7.138997778177537441e+48  2.569870100223697005e+48 -2.007676017276717990e+41  5.802358309110817597e+40 -2.189045520531821127e+41
7.378803062038869598e+00  7.315451531019435271e+33  5.739702628724657602e+48  7.434400020077894778e+48  2.517055816630254397e+48 -2.012864561864433776e+41  5.807769785351477966e+40 -2.208515108614601166e+41
7.587419128556252446e+00  7.379330000000000060e+33  6.038740125614979698e+48  7.767802189705692116e+48  2.453133179969397945e+48 -2.013885205555127285e+41  5.819398418096375334e+40 -2.227754910140965395e+41
7.810936342682019529e+00  7.447779999999999803e+33  6.338976665819837299e+48  8.144966312675734856e+48  2.386479007967346535e+48 -2.012323156570609568e+41  5.841540140132676416e+40 -2.247266105515701679e+41
8.019552409199402376e+00  7.511831204599700242e+33  6.577159766967703851e+48  8.512205974630081694e+48  2.337079265927013123e+48 -2.007732114818345013e+41  5.878212883474148928e+40 -2.265322018396271976e+41
8.257970770933553695e+00  7.585409999999999826e+33  6.777695560144825952e+48  8.920737556182491694e+48  2.286465218724484568e+48 -2.002045457867816098e+41  5.948072725281619114e+40 -2.287544848838161975e+41
8.481487985059320778e+00  7.655120000000000274e+33  6.911660283483352567e+48  9.273861458029002870e+48  2.224403396290554210e+48 -1.998042478086002352e+41  6.012881370477253638e+40 -2.307569177320151773e+41
8.719906346793472096e+00  7.730188782264490170e+33  6.995650846961023042e+48  9.624071876071327555e+48  2.158576310900176614e+48 -1.991017508066591359e+41  6.042479389181479598e+40 -2.321250823747782007e+41
8.973225856136009426e+00  7.810019999999999456e+33  7.017457656093753428e+48  9.956872575094104490e+48  2.132476404069114887e+48 -1.979744987062030793e+41  6.073168038737840727e+40 -2.332772150736092496e+41
9.226545365478544980e+00  7.890037682739273022e+33  6.985877201411580982e+48  1.025351035558918449e+49  2.165611298448269667e+48 -1.968779678725110293e+41  6.086615289840513451e+40 -2.343195919989142067e+41
9.479864874821082310e+00  7.970222437410541285e+33  6.918148491506463315e+48  1.054726256667243514e+49  2.237024884369280574e+48 -1.957524131523387617e+41  6.079457136386771062e+40 -2.352802444413845926e+41
9.748085531772002099e+00  8.055490000000000126e+33  6.799013530192931927e+48  1.086857028497923905e+49  2.332015764920773456e+48 -1.945284939894502548e+41  6.083648158334437128e+40 -2.362201902194651746e+41
1.003120733633130790e+01  8.145830733633130058e+33  6.602929806292662764e+48  1.121904712708485217e+49  2.424807598628481089e+48 -1.932659442460071879e+41  6.056307163089549941e+40 -2.368946630628751817e+41
1.031432914089061370e+01  8.236565828178122779e+33  6.345918821327207742e+48  1.155581791957560710e+49  2.507839831743757603e+48 -1.913768493351123104e+41  6.006423718859129953e+40 -2.373886597000820390e+41
1.059745094544991773e+01  8.328160378179966614e+33  6.050722770530341630e+48  1.186512579490230819e+49  2.596987524120087268e+48 -1.885289066034601608e+41  5.924496579110822573e+40 -2.377871403005943117e+41
1.089547389761760776e+01  8.425324338570565210e+33  5.684044898102021916e+48  1.216722037414203112e+49  2.669041355714452518e+48 -1.853363467146559657e+41  5.831872904108186820e+40 -2.386242480359844156e+41
1.122329914500206627e+01  8.532929658000825621e+33  5.148030265675272069e+48  1.242746099429583745e+49  2.708894662150941335e+48 -1.821692840714078250e+41  5.749231165651732727e+40 -2.394554390203408531e+41
1.152132209716975630e+01  8.631214419433951870e+33  4.562048952775496092e+48  1.261132514629120526e+49  2.693548302700931616e+48 -1.803354378569814643e+41  5.708506548242833690e+40 -2.399147288291211005e+41
